X,Y,OBJECTID,ID,NAME,ADDRESS,ARCH_TYPE,CONST_DATE,PHOTOS,SDE_PHOTOS,NUM_ON_REGISTER,DESIGNATION_DATE
-92.023019521857151,30.212935447405059,17,1034,LO CLARK HOUSE,112 CLARK CT,ECLECTIC REVIVALISM,1927,L_O_CLARK_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/034-LOClarkHouse.jpg,34,1994-10-05T00:00:00.000Z
-92.024138698285995,30.219179424998249,19,1033,1304 SAINT JOHN STREET HOUSE,1304 SAINT JOHN ST,AMERICAN BUNGALOW,CIRCA 1910,1304_ST_JOHN_STREET,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/033-1304SaintJohnStreet.jpg,33,1994-07-06T00:00:00.000Z
-92.020712864110365,30.218100670354431,20,1027,CROW GIRARD HOUSE,217 W UNIVERSITY AVE,QUEEN ANNE REVIVAL,1900,CROW_GIRARD_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/027-CrowGirardHouse.jpg,27,1993-12-01T00:00:00.000Z
-92.027865281069381,30.220862555097217,21,1026,CYPRESS HOUSE,203 MYRTLE PL,QUEEN ANNE REVIVAL,CIRCA 1900,CYPRESS_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/026-CypressHouse.jpg,26,1993-12-01T00:00:00.000Z
-92.024598074560743,30.21633021298145,22,1032,MOST HOLY SACRAMENT CONVENT,409 W SAINT MARY BLVD,SPANISH REVIVAL,1924,MOST_HOLY_SACRAMENT_CONVENT,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/032-MostHolySacrament.jpg,32,1994-07-06T00:00:00.000Z
-92.01589145882302,30.22578794977845,23,1025,CAFFERY HOUSE,233 GARFIELD ST,FRENCH COLONIAL,CIRCA 1886,CAFFERY_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/025-CafferyHouse.jpg,25,1993-12-01T00:00:00.000Z
-92.013971035722676,30.228921490550647,24,1031,KOURY LAW OFFICE,120 E THIRD ST,EASTLAKE,1905,KOURY_LAW_OFFICE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/031-KouryLawOffice.jpg,31,1994-04-04T00:00:00.000Z
-92.022586818262184,30.223157761616175,25,1030,CLAYTON MARTIN HOUSE,416 W MAIN ST,EASTLAKE,1905,CLAYTON_MARTIN_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/030-Clayton-MartinHouse.jpg,30,1994-05-04T00:00:00.000Z
-92.020325177850722,30.217811888995939,26,1029,SAUCIER-BARES HOUSE,205 W UNIVERSITY AVE,AMERICAN FOURSQUARE,1917,SAUCIER-BARES_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/029-Saucier-BaresHouse.jpg,29,1994-01-05T00:00:00.000Z
-92.019823246114782,30.216936760576466,27,1028,SOULIER HOUSE,1220 JOHNSTON ST,QUEEN ANNE REVIVAL,1916,SOULIER_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/028-SoulierHouse.jpg,28,1994-01-05T00:00:00.000Z
